Ewe/V	<I>/mA	time/s
3.1899383E+000	3.602772642550253E-001	1.739999956043903E+003
3.1907210E+000	3.602780665347563E-001	1.744999955917592E+003
3.1913891E+000	3.602775967810022E-001	1.749999955791282E+003
3.1924963E+000	3.602790601513624E-001	1.754999955664971E+003
3.1934509E+000	3.602774343201940E-001	1.759999955538660E+003
3.1941381E+000	3.602778746519027E-001	1.764999955412350E+003
3.1949017E+000	3.602764405402713E-001	1.769999955286039E+003
3.1958182E+000	3.602769521043006E-001	1.774999955159728E+003
3.1966581E+000	3.602796097872634E-001	1.779999955033418E+003
3.1976318E+000	3.602788688037584E-001	1.784999954907107E+003
3.1983955E+000	3.602761451765992E-001	1.789999954780797E+003
3.1991973E+000	3.602754812642861E-001	1.794999954654486E+003
3.1999991E+000	3.602777665231139E-001	1.799999954528175E+003
3.2009153E+000	3.602786031899574E-001	1.804999954401865E+003
3.2017171E+000	3.602781665525449E-001	1.809999954275554E+003
3.2026527E+000	3.602785271511181E-001	1.814999954149243E+003
3.2033780E+000	3.602786701021333E-001	1.819999954022933E+003
3.2040081E+000	3.602787906954458E-001	1.824999953896622E+003
3.2047908E+000	3.602784021291804E-001	1.829999953770312E+003
3.2057834E+000	3.602781830081955E-001	1.834999953644001E+003
3.2065852E+000	3.602769579050247E-001	1.839999953517690E+003
3.2074826E+000	3.602770919737556E-001	1.844999953391380E+003
3.2081125E+000	3.602772850415496E-001	1.849999953265069E+003
3.2088571E+000	3.602761275824997E-001	1.854999953138758E+003
3.2099071E+000	3.602755705425095E-001	1.859999953012448E+003
3.2106135E+000	3.602773314270775E-001	1.864999952886137E+003
3.2113578E+000	3.602774375257319E-001	1.869999952759827E+003
3.2120070E+000	3.602792200384418E-001	1.874999952633516E+003
3.2129424E+000	3.602781334838870E-001	1.879999952507205E+003
3.2136679E+000	3.602741860195596E-001	1.884999952380895E+003
3.2144506E+000	3.602736157044227E-001	1.889999952254584E+003
3.2151952E+000	3.602741171750011E-001	1.894999952128273E+003
3.2160161E+000	3.602781831679360E-001	1.899999952001963E+003
3.2167606E+000	3.602780302200295E-001	1.904999951875652E+003
3.2174859E+000	3.602775033697926E-001	1.909999951749342E+003
3.2182686E+000	3.602779956123797E-001	1.914999951623031E+003
3.2191851E+000	3.602789497587890E-001	1.919999951496720E+003
3.2197006E+000	3.602798306963876E-001	1.924999951370410E+003
3.2205596E+000	3.602809452079057E-001	1.929999951244099E+003
3.2213995E+000	3.602774005386648E-001	1.934999951117788E+003
3.2221441E+000	3.602780796596994E-001	1.939999950991478E+003
3.2228887E+000	3.602780547175391E-001	1.944999950865167E+003
3.2235951E+000	3.602797881792013E-001	1.949999950738857E+003
3.2242632E+000	3.602793062947096E-001	1.954999950612546E+003
3.2250841E+000	3.602810097215906E-001	1.959999950486235E+003
3.2259240E+000	3.602791848895819E-001	1.964999950359925E+003
3.2265160E+000	3.602804284034359E-001	1.969999950233614E+003
3.2274323E+000	3.602806172571814E-001	1.974999950107303E+003
3.2280431E+000	3.602773766503146E-001	1.979999949980993E+003
3.2287495E+000	3.602799466298088E-001	1.984999949854682E+003
3.2294750E+000	3.602803756199453E-001	1.989999949728372E+003
3.2301621E+000	3.602789884815436E-001	1.994999949602061E+003
3.2308495E+000	3.602799807117455E-001	1.999999949475750E+003
3.2317085E+000	3.602804022536854E-001	2.004999949349440E+003
3.2324531E+000	3.602815246580507E-001	2.009999949223129E+003
3.2331595E+000	3.602813627467975E-001	2.014999949096818E+003
3.2336750E+000	3.602802034650375E-001	2.019999948970508E+003
3.2344959E+000	3.602804239915000E-001	2.024999948844197E+003
3.2353358E+000	3.602808246610847E-001	2.029999948717887E+003
3.2357557E+000	3.602818875061033E-001	2.034999948591576E+003
3.2366531E+000	3.602812272570918E-001	2.039999948465265E+003
3.2373402E+000	3.602795002446523E-001	2.044999948338955E+003
3.2378557E+000	3.602789318034854E-001	2.049999948212644E+003
3.2386384E+000	3.602817994640803E-001	2.054999948086333E+003
3.2394211E+000	3.602834583031095E-001	2.059999947960023E+003
3.2401466E+000	3.602804405282130E-001	2.064999947833712E+003
3.2408721E+000	3.602817785821885E-001	2.069999947707402E+003
3.2415020E+000	3.602822713051891E-001	2.074999947581091E+003
3.2421703E+000	3.602811688588436E-001	2.079999947454780E+003
3.2427812E+000	3.602815067444703E-001	2.084999947328470E+003
3.2434876E+000	3.602822920416456E-001	2.089999947202159E+003
3.2443275E+000	3.602811941264452E-001	2.094999947075848E+003
3.2447855E+000	3.602808314095228E-001	2.099999946949538E+003
3.2454729E+000	3.602805881784586E-001	2.104999946823227E+003
3.2461028E+000	3.602775696954588E-001	2.109999946696917E+003
3.2468283E+000	3.602781594524394E-001	2.114999946570606E+003
3.2474391E+000	3.602788605091758E-001	2.119999946444295E+003
3.2480502E+000	3.602808954106079E-001	2.124999946317985E+003
3.2487564E+000	3.602815795980374E-001	2.129999946191674E+003
3.2492909E+000	3.602826408683011E-001	2.134999946065363E+003
3.2499211E+000	3.602819221054084E-001	2.139999945939053E+003
3.2505319E+000	3.602819740210553E-001	2.144999945812742E+003
3.2510283E+000	3.602806248198188E-001	2.149999945686432E+003
3.2516201E+000	3.602795502994422E-001	2.154999945560121E+003
3.2524409E+000	3.602776184079520E-001	2.159999945433810E+003
3.2529755E+000	3.602791097877275E-001	2.164999945307500E+003
3.2534719E+000	3.602792063102997E-001	2.169999945181189E+003
3.2540445E+000	3.602806059513720E-001	2.174999945054878E+003
